"mot","nature","niveau","définition FR","équivalent EN","thème","note d'usage","exemple en contexte"
"un hameau","n.m.","B1","Petit groupe de maisons rurales, plus petit qu'un village.","hamlet","Paysage","","Le car me débarqua à Vergons. En 1913, ce hameau de dix à douze maisons avait trois habitants."
"une brebis","n.f.","B1","Mouton femelle adulte.","ewe","Flore/faune","","Il ne possédait plus que quatre brebis mais, par contre, une centaine de ruches."
"une ruche","n.f.","B1","Abri construit pour héberger une colonie d'abeilles.","beehive","Flore/faune","","Il ne possédait plus que quatre brebis mais, par contre, une centaine de ruches."
"un hêtre","n.m.","B1","Grand arbre à écorce lisse gris clair, fréquent en forêt européenne.","beech","Flore/faune","","Il étudiait déjà, d'ailleurs, la reproduction des hêtres [...]"
"un bouleau","n.m.","B1","Arbre à écorce blanche caractéristique, aux feuilles légères.","birch","Flore/faune","","Il pensait également à des bouleaux pour les fonds où [...] une certaine humidité dormait à quelques mètres de la surface du sol."
"un érable","n.m.","B1","Arbre dont la feuille palmée est l'emblème du Canada ; donne aussi le sirop d'érable.","maple","Flore/faune","","Il avait, pendant un an, planté plus de dix mille érables. Ils moururent tous."
"un gland","n.m.","B1","Fruit du chêne.","acorn","Flore/faune","","Le berger qui ne fumait pas alla chercher un petit sac et déversa sur la table un tas de glands."
"une gourde","n.f.","B1","Récipient portatif servant à transporter une boisson.","flask, gourd","Objets/outils","","Il me fit boire à sa gourde et, un peu plus tard, il me conduisit à sa bergerie [...]"
"une pépinière","n.f.","B1","Endroit où l'on cultive de jeunes plants destinés à être transplantés.","nursery","Flore/faune","","[...] il avait près de sa maison une pépinière issue des faînes."
"une semence","n.f.","B1","Graine destinée à être semée.","seed (for sowing)","Flore/faune","","Après le repas de midi, il recommença à trier sa semence."
"un bûcheron","n.m.","B1","Ouvrier qui abat les arbres en forêt.","lumberjack, woodcutter","Société/administration","","Ils sont habités par des bûcherons qui font du charbon de bois."
"un député","n.m.","B1","Personne élue pour siéger à une assemblée législative.","Member of Parliament (MP)","Société/administration","Au Canada, le mot couvre les députés fédéraux (Chambre des communes) et provinciaux (Assemblée nationale au QC). Faux ami : ne pas traduire par « deputy » en contexte canadien — « Deputy Minister » = sous-ministre.","Il y avait un grand personnage des Eaux et Forêts, un député, des techniciens."
"un garde forestier","n.m.","B1","Agent chargé de la surveillance et de la protection des forêts.","forest ranger","Société/administration","","En 1933, il reçut la visite d'un garde forestier éberlué."
"un rongeur","n.m.","B1","Petit mammifère qui grignote (souris, écureuil, etc.).","rodent","Flore/faune","","Il comptait encore en perdre la moitié, du fait des rongeurs [...]"
"ronger","v.","B1","User, détériorer peu à peu en grignotant ou en érodant ; souvent au participe passif (« rongé par »).","to gnaw at, to erode","Verbe d'action","","Les cinq à six maisons, sans toiture, rongées de vent et de pluie [...]"
"bienveillant","adj.","B1","Qui veut du bien, qui montre de la bonté envers autrui.","kindly, benevolent","Adjectifs de caractérisation","Mot très fréquent en français contemporain (RH, parentalité, médias).","Son chien, silencieux comme lui, était bienveillant sans bassesse."
"en guise de","loc. prép.","B1","À la place de, en remplacement de, comme.","by way of, as","Expression/idiome","","Je remarquai qu'en guise de bâton, il emportait une tringle de fer [...]"
"à perte de vue","loc. adv.","B1","Aussi loin que la vue peut porter ; sur une étendue immense.","as far as the eye can see","Expression/idiome","","[...] les hêtres qui m'arrivaient aux épaules, répandus à perte de vue, en témoignaient."
"une trentaine de","loc. quant.","B1","Nombre approximatif d'environ trente. Modèle productif : dizaine, vingtaine, trentaine, quarantaine, etc.","about thirty, around thirty","Expression/idiome","Schéma : [chiffre rond]aine + de + nom. Très courant à l'oral pour donner un ordre de grandeur.","Une trentaine de moutons couchés sur la terre brûlante se reposaient près de lui."
"une lande","n.f.","B2","Terre inculte couverte d'une végétation rase (bruyères, ajoncs, etc.).","heath, moor","Paysage","","C'était [...] des landes nues et monotones, vers 1200 à 1300 mètres d'altitude."
"un contrefort","n.m.","B2","Relief secondaire qui s'appuie sur un massif montagneux principal.","foothill","Paysage","","[...] à l'ouest par les plaines du Comtat Venaissin et les contreforts du Mont-Ventoux."
"une bergerie","n.f.","B2","Bâtiment rural qui abrite les moutons.","sheepfold","Paysage","","[...] il me conduisit à sa bergerie, dans une ondulation du plateau."
"une ondulation","n.f.","B2","Légère vague ou variation du relief.","undulation, gentle rise","Paysage","","[...] il me conduisit à sa bergerie, dans une ondulation du plateau."
"un osier","n.m.","B2","Variété de saule à branches souples utilisées en vannerie.","osier, wicker willow","Flore/faune","","En même temps que l'eau réapparut réapparaissaient les saules, les osiers, les prés, les jardins, les fleurs et une certaine raison de vivre."
"un treuil","n.m.","B2","Appareil à manivelle ou à moteur pour hisser une charge.","windlass, winch","Objets/outils","","Il tirait son eau — excellente — d'un trou naturel, très profond, au-dessus duquel il avait installé un treuil rudimentaire."
"une tringle","n.f.","B2","Barre métallique rigide, plus ou moins fine, utilisée comme support, suspension ou outil.","metal rod","Objets/outils","Chez Giono, c'est une barre « grosse comme le pouce » utilisée comme outil de plantation — plus solide qu'une tringle à rideau usuelle.","[...] il emportait une tringle de fer grosse comme le pouce et longue d'environ un mètre cinquante."
"une blague à tabac","n.f. (loc.)","B2","Petite pochette en cuir ou en tissu pour transporter du tabac.","tobacco pouch","Objets/outils","","[...] comme après je lui offrais ma blague à tabac, il me dit qu'il ne fumait pas."
